['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'yuritoledo', 1, 1, 1, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'treyhuffine', 1, 5, 0, '2019-05-26', '2019-05-26']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'thomasdashney', 1, 8, 1, '2019-08-25', '2019-08-25']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'smnguyen', 1, 8, 1, '2019-08-11', '2019-08-11']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'simonfranzen', 1, 6, 0, '2019-08-25', '2019-08-25']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'sajadtorkamani', 1, 1, 1, '2019-06-23', '2019-06-23']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'redreceipt', 1, 7, 7, '2019-06-16', '2019-06-16']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'qw-in', 1, 15, 0, '2019-11-03', '2019-11-03']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'ptrin', 1, 1, 1, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'pryasin', 1, 1, 1, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'pealmeid', 1, 3, 1, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'nbrustein', 1, 23, 8, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'monkeywithacupcake', 1, 31, 1, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'michaelryancaputo', 1, 1, 1, '2019-05-05', '2019-05-05']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'meeoh', 1, 12, 6, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'mauricedb', 1, 3, 3, '2019-10-06', '2019-10-06']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'matomesc', 1, 23, 9, '2019-05-12', '2019-05-12']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'martynsmith', 1, 3, 3, '2019-05-19', '2019-05-19']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'lulupy', 1, 1, 1, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'lukeKonopka', 1, 76, 9, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'lucasfeliciano', 1, 12, 2, '2019-07-07', '2019-07-07']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'kylemh', 1, 1, 1, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'kumarRaj', 1, 1, 1, '2019-09-08', '2019-09-08']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'jsonz1993', 1, 5, 3, '2019-07-14', '2019-07-14']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'jrobeson', 1, 1, 1, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'jozsi', 1, 1, 1, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'jasonnathan', 1, 3, 3, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'ikesler-tenengroup', 1, 50, 10, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'gunn4r', 1, 6, 0, '2019-06-09', '2019-06-09']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'gkanishk', 1, 1, 1, '2019-05-19', '2019-05-19']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'frantic1048', 1, 1, 1, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'frank3stein', 1, 2, 2, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'fmoliveira', 1, 1, 1, '2019-10-06', '2019-10-06']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'falldowngoboone', 1, 7, 4, '2019-05-26', '2019-05-26']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'fabb', 1, 1, 0, '2019-11-03', '2019-11-03']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'eedrah', 1, 1, 1, '2019-11-03', '2019-11-03']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'duncanleung', 1, 1, 1, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'derekprice', 1, 23, 0, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'danifus', 1, 140, 105, '2019-04-21', '2019-04-21']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'ctrlplusb', 1, 5, 7, '2019-07-28', '2019-07-28']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'cliffordfajardo', 1, 4, 0, '2019-08-11', '2019-08-11']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'clemens-tolboom', 1, 1, 1, '2019-05-12', '2019-05-12']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'chaffeqa', 1, 5, 1, '2019-10-06', '2019-10-06']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'camflan', 1, 1, 1, '2019-10-06', '2019-10-06']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'brndnmtthws', 1, 8, 6, '2019-08-18', '2019-08-18']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'bossbossk20', 1, 1, 0, '2019-06-23', '2019-06-23']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'bjoluc', 1, 1, 1, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'bickmark', 1, 0, 1, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'beloglazof', 1, 1, 1, '2019-05-19', '2019-05-19']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'andyrichardson', 1, 7, 7, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'aldis-ameriks', 1, 0, 1, '2019-08-25', '2019-08-25']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'agentreno', 1, 3, 4, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Xstoudi', 1, 76, 6, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Verbon', 1, 2, 2, '2019-06-16', '2019-06-16']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Narigo', 1, 5, 5, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'MatheusRV', 1, 0, 1, '2019-06-16', '2019-06-16']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'LeviButcher', 1, 1, 1, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Granipouss', 1, 3, 1, '2019-08-04', '2019-08-04']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'CompuIves', 1, 4, 0, '2019-10-20', '2019-10-20']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Andrey-Bazhanov', 1, 39, 3, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'weswigham', 2, 13, 15, '2018-01-21', '2018-02-04']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'sltenorio99', 2, 10, 6, '2018-02-18', '2018-03-25']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'piotrwitek', 2, 87, 41, '2018-03-25', '2018-04-01']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'paqe', 2, 288, 92, '2018-09-16', '2018-09-23']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'ohbarye', 2, 0, 21, '2018-04-08', '2018-04-15']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'nathanforce', 2, 175, 7, '2018-05-06', '2018-05-13']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'lubarskyy', 2, 28, 25, '2018-12-02', '2018-12-02']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'karl-run', 2, 61, 61, '2019-10-27', '2019-10-27']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'johnrom', 2, 3, 2, '2019-02-24', '2019-08-25']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'jeffbski', 2, 796, 762, '2018-02-18', '2018-02-18']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'islam3zzat', 2, 41, 2, '2018-04-08', '2018-08-19']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'dlehmhus', 2, 15, 13, '2018-09-23', '2018-12-09']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'dagstuan', 2, 4, 4, '2019-05-26', '2019-06-30']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'crosscompile', 2, 44, 21, '2018-12-09', '2019-01-13']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'chengcyber', 2, 86, 87, '2019-05-26', '2019-05-26']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'charlax', 2, 21, 2, '2019-01-27', '2019-02-03']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'browniefed', 2, 6, 1, '2018-03-04', '2019-08-11']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'billfienberg', 2, 9, 3, '2019-07-14', '2019-07-14']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'YikSanChan', 2, 1, 5, '2019-01-06', '2019-03-31']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Rahmon', 2, 15, 13, '2019-06-09', '2019-06-09']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Magellol', 2, 80, 29, '2017-11-12', '2019-02-03']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'KeweiCodes', 2, 41, 6, '2018-06-24', '2018-06-24']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'FredyC', 2, 16, 8, '2019-07-07', '2019-07-14']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'willcaul', 3, 48, 48, '2018-08-26', '2018-09-30']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'gabrielfnogueira', 3, 141, 7, '2018-09-30', '2018-10-14']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'everdimension', 3, 35, 35, '2017-10-22', '2018-05-06']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'andrewMuntyan', 3, 35, 22, '2019-04-07', '2019-06-23']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'albert-olive', 3, 6, 1, '2019-05-19', '2019-05-19']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Saifadin', 3, 34, 1, '2018-09-30', '2018-10-14']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'DanielRuf', 3, 438, 138, '2018-05-06', '2018-05-13']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'imgbot[bot]', 4, 0, 0, '2018-11-25', '2019-05-26']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'igtm', 4, 16, 8, '2019-06-02', '2019-06-02']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'eonwhite', 4, 47, 54, '2017-06-11', '2017-09-03']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'brikou', 4, 235, 182, '2017-08-06', '2017-12-10']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'Andreyco', 4, 408, 159, '2017-07-30', '2018-07-01']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'TrySound', 5, 744, 274, '2018-04-22', '2018-12-02']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'prichodko', 7, 3878, 1160, '2017-10-29', '2018-10-14']
['formik', 'jaredpalmer', 19012, 'TypeScript', 98, 'jaredpalmer', 716, 114896, 75805, '2017-06-11', '2019-11-03']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'xiaoyuhen', 1, 1, 0, '2018-11-11', '2018-11-11']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'wafflepie', 1, 1, 1, '2016-06-19', '2016-06-19']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'vuhrmeister', 1, 55, 76, '2019-08-18', '2019-08-18']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ulrikstrid', 1, 6674, 425, '2018-02-25', '2018-02-25']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'tkloht', 1, 6274, 344, '2017-12-10', '2017-12-10']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'timothymclane', 1, 1, 0, '2017-12-31', '2017-12-31']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'tatchi', 1, 6, 0, '2018-09-02', '2018-09-02']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'stoikerty', 1, 9, 5, '2017-08-20', '2017-08-20']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'serratus', 1, 6, 3, '2016-03-06', '2016-03-06']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'samjetski', 1, 5, 5, '2018-12-23', '2018-12-23']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'romainquellec', 1, 1, 1, '2018-02-04', '2018-02-04']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'rlindskog', 1, 1, 1, '2017-06-04', '2017-06-04']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'raibima', 1, 1, 1, '2018-12-23', '2018-12-23']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'pedrobullo', 1, 10, 13, '2018-10-28', '2018-10-28']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'nuragic', 1, 1, 1, '2017-10-15', '2017-10-15']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'mschipperheyn', 1, 39, 38, '2019-07-14', '2019-07-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'mrwade', 1, 21, 21, '2017-12-03', '2017-12-03']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'morkro', 1, 1, 1, '2018-01-14', '2018-01-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'macrozone', 1, 2, 1, '2018-12-30', '2018-12-30']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'lucasterra', 1, 212, 0, '2018-08-12', '2018-08-12']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'jpetitcolas', 1, 2, 2, '2018-08-05', '2018-08-05']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'jolyonruss', 1, 11092, 0, '2017-11-19', '2017-11-19']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ipaintcode', 1, 1, 1, '2018-03-18', '2018-03-18']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'imgbot[bot]', 1, 0, 0, '2018-12-30', '2018-12-30']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ikappas', 1, 19, 3, '2018-01-07', '2018-01-07']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'howardya', 1, 8, 3, '2017-10-22', '2017-10-22']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'guyb7', 1, 77, 57, '2017-12-24', '2017-12-24']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'greenkeeper[bot]', 1, 6, 4, '2017-11-05', '2017-11-05']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'gitter-badger', 1, 2, 0, '2016-06-05', '2016-06-05']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'gihrig', 1, 15, 13, '2016-05-08', '2016-05-08']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'fix-fix', 1, 1, 1, '2018-03-18', '2018-03-18']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'fireyy', 1, 1, 0, '2016-02-21', '2016-02-21']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'faheempatel', 1, 1, 1, '2018-06-17', '2018-06-17']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'eyelidlessness', 1, 1, 1, '2017-08-06', '2017-08-06']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ericvicenti', 1, 19, 5, '2018-07-22', '2018-07-22']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'erchaves', 1, 12, 0, '2019-07-14', '2019-07-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ducdev', 1, 3, 3, '2018-10-14', '2018-10-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'dominicrico', 1, 2, 2, '2019-08-11', '2019-08-11']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'dfreire', 1, 853, 485, '2019-07-14', '2019-07-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'davidnguyen179', 1, 297, 0, '2018-06-17', '2018-06-17']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'd4rky-pl', 1, 750, 27, '2017-12-03', '2017-12-03']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'chrisfitkin', 1, 1, 1, '2016-12-04', '2016-12-04']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'btzr-io', 1, 2, 0, '2018-02-18', '2018-02-18']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'brodybits', 1, 0, 3, '2019-04-14', '2019-04-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'bkonkle', 1, 2, 2, '2018-08-12', '2018-08-12']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'bjrnt', 1, 2, 2, '2017-07-09', '2017-07-09']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'bjenkins24', 1, 2, 2, '2018-03-04', '2018-03-04']
